feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,target
60.0,48.8,1018.9,13.6,1.4,8.9,77.0,46.9,0
57.8,48.2,1026.4,13.0,9.6,17.1,64.9,53.1,1
53.2,45.2,1023.9,10.6,3.8,12.0,69.1,37.9,0
60.7,53.2,1015.2,14.1,11.3,25.1,75.9,50.0,0
63.3,54.4,1015.8,14.3,7.2,15.0,77.0,52.0,0
61.6,53.4,1015.6,12.4,13.0,25.1,70.0,57.0,1
62.9,58.7,1012.3,9.2,10.5,26.0,73.9,55.9,1
53.9,52.7,1012.6,3.5,7.1,13.0,69.1,48.0,1
42.6,38.5,1014.3,9.8,11.8,20.0,48.0,37.0,1
45.0,35.3,1019.1,13.8,9.0,22.9,66.0,33.1,0
50.0,40.8,1024.1,14.9,9.2,17.1,57.9,42.1,0
41.6,33.4,1032.0,13.3,3.6,10.1,50.0,30.0,0
46.0,37.9,1022.3,13.9,10.1,18.1,57.0,39.9,0
41.5,35.7,1028.4,12.4,4.7,17.1,57.0,30.0,0
54.1,45.2,1021.1,13.5,12.4,17.1,72.0,43.0,0
55.8,49.2,1019.8,11.5,2.0,8.9,72.0,45.0,0
58.4,50.4,1015.1,11.6,5.4,10.1,72.0,50.0,0
47.0,36.0,1021.4,11.7,13.1,25.1,57.0,39.0,0
34.1,25.3,1026.8,13.5,6.0,18.1,52.0,21.9,0
51.9,38.1,1012.0,14.9,10.7,19.0,70.0,42.1,0
45.2,34.5,1019.2,14.9,14.3,30.1,57.0,37.9,0
39.4,31.2,1023.7,14.3,6.3,15.0,63.0,26.1,0
48.9,40.5,1018.6,13.0,8.6,15.0,60.1,37.9,0
39.0,31.9,1031.0,12.4,4.8,13.0,55.0,26.1,0
48.8,40.1,1024.7,14.0,1.9,8.9,73.0,35.1,0
55.5,46.4,1016.1,14.4,3.8,17.1,78.1,41.0,0
54.6,45.4,1009.2,12.1,3.6,13.0,70.0,39.0,0
59.9,51.2,1003.5,14.8,10.1,15.0,69.1,51.1,0
54.7,47.3,1002.5,11.4,1.5,10.1,72.0,43.0,0
56.2,49.0,1001.0,12.7,4.5,15.0,70.0,44.1,0
51.3,45.8,1008.2,9.0,19.9,26.0,60.1,48.0,1
48.2,38.2,1014.1,12.7,10.8,25.1,68.0,36.0,0
48.2,37.9,1015.3,14.9,10.1,26.0,59.0,39.9,0
39.5,29.7,1015.7,14.9,11.0,22.9,51.1,32.0,0
42.6,31.7,1018.0,14.0,15.5,35.9,46.9,39.0,0
39.5,31.5,1026.0,14.9,13.1,22.0,48.9,30.9,0
33.4,26.4,1026.4,13.6,7.3,17.1,51.1,21.9,0
50.5,40.6,1009.4,14.9,5.9,19.0,72.0,37.9,0
46.2,36.7,1015.9,13.6,16.2,32.1,57.9,34.0,0
32.6,24.9,1030.2,12.1,16.3,30.1,39.0,27.0,0
34.4,21.6,1022.6,14.9,9.6,15.9,55.0,21.0,0
41.8,30.7,1015.4,13.4,4.3,13.0,48.0,35.1,0
41.6,35.4,1008.6,13.5,14.1,26.0,46.0,36.0,1
35.9,28.5,1018.6,14.2,4.9,10.1,48.0,28.9,0
47.2,33.7,1007.1,14.9,13.5,26.0,66.0,37.0,0
43.6,34.0,1009.8,11.7,8.8,18.1,55.0,35.1,0
51.4,42.2,1002.3,12.1,8.8,15.0,64.0,41.0,0
48.5,39.5,1013.8,14.5,8.0,22.9,60.1,35.1,0
44.1,31.4,1020.5,14.9,6.9,10.1,57.9,33.1,0
45.2,34.3,1017.9,13.3,12.3,22.0,50.0,39.0,0
37.8,27.7,1023.3,12.3,10.6,25.1,53.1,30.0,0
47.5,35.8,1014.2,10.9,11.3,20.0,54.0,42.1,0
38.9,26.8,1028.0,13.3,8.6,19.0,48.9,28.9,0
33.6,21.3,1025.6,11.5,6.0,17.1,45.0,19.9,0
39.9,28.5,1007.9,14.1,11.7,21.0,54.0,28.9,0
31.1,19.0,1021.1,12.8,16.0,25.1,45.0,24.1,0
17.7,9.1,1033.4,12.9,6.8,10.1,25.0,14.0,0
22.9,17.5,1023.5,7.1,13.6,22.0,30.0,19.0,0
37.3,36.6,1007.1,1.5,13.2,18.1,48.9,30.9,1
49.1,46.0,996.3,8.5,17.8,28.9,55.9,24.1,1
16.5,4.5,1021.9,12.8,10.3,26.0,27.0,10.9,0
18.9,9.2,1031.8,13.9,7.3,15.0,23.0,14.0,0
16.0,7.8,1036.8,13.1,2.5,15.0,30.9,7.0,0
26.1,15.6,1026.6,14.9,9.9,17.1,44.1,16.0,0
35.8,26.9,1012.3,12.3,16.8,27.0,50.0,28.9,0
39.4,31.1,1008.5,10.7,10.4,18.1,46.0,33.1,0
31.2,23.9,1014.1,7.4,5.0,15.0,46.9,21.0,0
37.6,36.2,1014.6,2.4,7.9,17.1,42.1,32.0,0
30.0,27.3,1011.8,4.3,10.9,22.9,39.0,19.0,1
14.9,7.6,1013.3,8.9,12.8,17.1,19.0,12.0,0
18.5,10.6,1015.8,8.6,15.0,22.9,19.9,15.1,0
13.8,5.6,1022.4,14.4,8.9,17.1,30.0,5.0,0
18.7,10.4,1024.9,10.8,15.0,40.0,39.9,8.1,0
30.2,21.5,1016.1,10.9,19.0,30.1,39.9,19.0,0
14.5,4.4,1022.2,12.0,5.7,21.0,27.0,5.0,0
28.0,19.1,1019.7,12.6,4.5,10.1,44.1,18.0,0
35.3,25.3,1023.5,13.5,7.7,18.1,48.9,26.1,0
29.6,23.5,1027.8,14.9,4.6,10.1,39.9,19.9,0
37.4,31.5,1023.3,9.9,7.3,18.1,50.0,30.0,1
41.1,37.6,1023.9,7.1,5.7,13.0,44.1,37.0,0
36.6,34.8,1022.5,2.4,2.5,8.9,45.0,32.0,1
39.0,37.7,1011.7,1.8,6.4,27.0,46.9,16.0,1
4.8,-1.4,1011.7,4.7,20.3,26.0,12.9,-0.9,1
-1.3,-11.1,1019.6,9.8,15.6,25.1,7.0,-7.1,0
4.2,-6.2,1029.7,11.0,7.4,8.9,16.0,-2.0,0
15.1,5.4,1025.4,11.1,2.3,10.1,30.9,7.0,0
23.1,14.5,1032.8,11.9,6.5,17.1,34.0,12.9,0
34.8,26.6,1021.2,14.9,17.4,26.0,46.9,28.9,0
36.6,31.3,1005.7,12.2,10.9,15.9,46.9,30.9,0
25.2,14.9,1015.0,11.9,15.7,30.1,42.1,10.9,0
24.6,16.7,1027.3,11.9,10.3,22.0,39.0,17.1,0
36.3,30.7,1013.1,11.2,10.4,19.0,42.1,28.0,0
23.4,21.6,1008.6,3.0,6.3,13.0,28.9,10.9,1
11.5,4.9,1021.2,10.4,8.0,17.1,35.1,1.9,0
22.6,14.7,1009.6,10.8,15.9,30.1,43.0,3.9,0
15.3,8.3,1029.2,11.5,6.0,11.1,39.9,3.9,0
28.5,21.8,1017.0,9.9,11.6,26.0,37.9,10.9,0
6.9,-4.3,1026.7,9.9,7.6,17.1,14.0,3.9,0
16.7,8.1,1030.2,8.8,0.4,8.9,28.9,10.9,0
25.2,17.5,1030.2,12.0,5.6,13.0,43.0,16.0,0
33.4,27.4,1019.8,7.9,3.6,13.0,46.9,25.0,0
35.6,29.2,1013.0,7.4,1.0,7.0,46.0,26.1,0
30.2,26.3,1012.6,5.0,8.2,15.0,42.1,25.0,1
28.1,25.4,999.3,1.8,6.6,22.0,35.1,12.0,1
3.0,-3.4,1013.7,4.2,13.1,25.1,10.9,-0.9,0
-6.9,-16.6,1036.0,9.4,8.1,13.0,0.0,-14.1,0
5.5,-3.9,1035.7,11.5,6.1,12.0,30.0,-9.9,0
31.9,23.7,1010.4,11.8,9.1,22.0,50.0,24.1,0
4.7,-6.0,1022.1,11.6,15.2,30.1,14.0,0.0,0
4.1,-3.2,1031.3,6.3,7.4,15.0,9.0,0.0,0
2.8,-4.1,1027.6,7.5,3.8,10.1,17.1,-11.0,0
