date,Total Passengers
1987-Sep,2602304
1987-Oct,2389250
1987-Nov,2010071
1987-Dec,2176865
1988-Jan,2192010
1988-Feb,1957857
1988-Mar,2397190
1988-Apr,2449663
1988-May,2570983
1988-Jun,2895614
1988-Jul,3428600
1988-Aug,3379891
1988-Sep,2599740
1988-Oct,2387060
1988-Nov,2008527
1988-Dec,2087475
1989-Jan,2076723
1989-Feb,1756939
1989-Mar,2287242
1989-Apr,2285707
1989-May,2499703
1989-Jun,2772499
1989-Jul,3119466
1989-Aug,3241904
1989-Sep,2605180
1989-Oct,2388449
1989-Nov,2065063
1989-Dec,2138011
1990-Jan,2119091
1990-Feb,1843797
1990-Mar,2232491
1990-Apr,2327802
1990-May,2459820
1990-Jun,2788556
1990-Jul,3145690
1990-Aug,3353241
1990-Sep,2565252
1990-Oct,2275176
1990-Nov,1879355
1990-Dec,2040172
1991-Jan,1897528
1991-Feb,1414320
1991-Mar,1852923
1991-Apr,2026028
1991-May,2226279
1991-Jun,2476462
1991-Jul,2810627
1991-Aug,3076883
1991-Sep,2205742
1991-Oct,2083499
1991-Nov,1705227
1991-Dec,1926920
1992-Jan,1844861
1992-Feb,1697135
1992-Mar,2094368
1992-Apr,2139625
1992-May,2296760
1992-Jun,2620931
1992-Jul,3017345
1992-Aug,3248998
1992-Sep,2479753
1992-Oct,2307826
1992-Nov,1935995
1992-Dec,2040549
1993-Jan,1991486
1993-Feb,1656385
1993-Mar,1977575
1993-Apr,2060801
1993-May,2190596
1993-Jun,2404391
1993-Jul,2866807
1993-Aug,3043124
1993-Sep,2351971
1993-Oct,2251498
1993-Nov,1954793
1993-Dec,2112618
1994-Jan,1993042
1994-Feb,1608734
1994-Mar,2165332
1994-Apr,2144061
1994-May,2323394
1994-Jun,2714862
1994-Jul,3191782
1994-Aug,3314500
1994-Sep,2614723
1994-Oct,2437824
1994-Nov,2143030
1994-Dec,2229900
1995-Jan,2148141
1995-Feb,1779909
1995-Mar,2258064
1995-Apr,2422847
1995-May,2453553
1995-Jun,2769177
1995-Jul,3243100
1995-Aug,3404143
1995-Sep,2737805
1995-Oct,2596808
1995-Nov,2244701
1995-Dec,2322025
1996-Jan,2063353
1996-Feb,1958314
1996-Mar,2472343
1996-Apr,2435105
1996-May,2617167
1996-Jun,2896682
1996-Jul,3269018
1996-Aug,3441595
1996-Sep,2684385
1996-Oct,2593753
1996-Nov,2239187
1996-Dec,2484452
1997-Jan,2238277
1997-Feb,1956363
1997-Mar,2500718
1997-Apr,2429460
1997-May,2603959
1997-Jun,2831334
1997-Jul,3244966
1997-Aug,3458134
1997-Sep,2708643
1997-Oct,2590679
1997-Nov,2323346
1997-Dec,2471340
1998-Jan,2325866
1998-Feb,2059424
1998-Mar,2464590
1998-Apr,2521022
1998-May,2658392
1998-Jun,2840126
1998-Jul,3123132
1998-Aug,3300421
1998-Sep,2672039
1998-Oct,2470268
1998-Nov,2216710
1998-Dec,2406903
1999-Jan,2221026
1999-Feb,1940449
1999-Mar,2587600
1999-Apr,2513051
1999-May,2586190
1999-Jun,2959859
1999-Jul,3265863
1999-Aug,3396228
1999-Sep,2692932
1999-Oct,2700187
1999-Nov,2486329
1999-Dec,2358215
2000-Jan,2221910
2000-Feb,2112365
2000-Mar,2660577
2000-Apr,2747955
2000-May,2810190
2000-Jun,3009971
2000-Jul,3324662
2000-Aug,3418492
2000-Sep,2773322
2000-Oct,2707406
2000-Nov,2529566
2000-Dec,2511104
2001-Jan,2321686
2001-Feb,2085349
2001-Mar,2570368
2001-Apr,2708867
2001-May,2685555
2001-Jun,2924036
2001-Jul,3250882
2001-Aug,3408881
2001-Sep,1870571
2001-Oct,1728335
2001-Nov,1729776
2001-Dec,2026740
2002-Jan,2017115
2002-Feb,1870895
2002-Mar,2436851
2002-Apr,2324078
2002-May,2432696
2002-Jun,2671555
2002-Jul,3009093
2002-Aug,3219483
2002-Sep,2465361
2002-Oct,2479107
2002-Nov,2315599
2002-Dec,2696355
2003-Jan,2457070
2003-Feb,2106359
2003-Mar,2470182
2003-Apr,2353790
2003-May,2426504
2003-Jun,2728936
2003-Jul,3195327
2003-Aug,3319859
2003-Sep,2557664
2003-Oct,2640770
2003-Nov,2552796
2003-Dec,2927234
2004-Jan,2665954
2004-Feb,2509779
2004-Mar,2966915
2004-Apr,3118133
2004-May,3034531
2004-Jun,3324925
2004-Jul,3775720
2004-Aug,3907091
2004-Sep,3036368
2004-Oct,3062758
2004-Nov,2989078
2004-Dec,3183239
2005-Jan,3037983
2005-Feb,2758552
2005-Mar,3488802
2005-Apr,3382056
2005-May,3500367
2005-Jun,3630810
2005-Jul,4146051
2005-Aug,4108341
2005-Sep,3229538
2005-Oct,3125845
2005-Nov,3190388
2005-Dec,3293178
2006-Jan,3094700
2006-Feb,2722498
2006-Mar,3434962
2006-Apr,3544267
2006-May,3420089
2006-Jun,3753481
2006-Jul,4210807
2006-Aug,4220900
2006-Sep,3434444
2006-Oct,3568908
2006-Nov,3484448
2006-Dec,3739378
2007-Jan,3489004
2007-Feb,3007257
2007-Mar,3915492
2007-Apr,4032447
2007-May,4099820
2007-Jun,4375225
2007-Jul,4655003
2007-Aug,4735348
2007-Sep,3839225
2007-Oct,3884935
2007-Nov,3770190
2007-Dec,3913870
2008-Jan,3590126
2008-Feb,3268228
2008-Mar,4068719
2008-Apr,3943887
2008-May,4163946
2008-Jun,4336036
2008-Jul,4769732
2008-Aug,4820485
2008-Sep,3726962
2008-Oct,3811476
2008-Nov,3501737
2008-Dec,3801782
2009-Jan,3362945
2009-Feb,3003610
2009-Mar,3654594
2009-Apr,3825614
2009-May,3908798
2009-Jun,4113916
2009-Jul,4594578
2009-Aug,4691343
2009-Sep,3763901
2009-Oct,3801069
2009-Nov,3437770
2009-Dec,3719804
2010-Jan,3345769
2010-Feb,2881474
2010-Mar,3666012
2010-Apr,3624713
2010-May,3932920
2010-Jun,4282071
2010-Jul,4687045
2010-Aug,4718586
2010-Sep,3933255
2010-Oct,4013193
2010-Nov,3745653
2010-Dec,3690195
2011-Jan,3396238
2011-Feb,2984436
2011-Mar,3854583
2011-Apr,3969048
2011-May,4182902
2011-Jun,4345932
2011-Jul,4823893
2011-Aug,4539900
2011-Sep,4032192
2011-Oct,3996774
2011-Nov,3696617
2011-Dec,3822082
2012-Jan,3522705
2012-Feb,3239977
2012-Mar,4054413
2012-Apr,4131110
2012-May,4196869
2012-Jun,4522449
2012-Jul,4909743
2012-Aug,4986731
2012-Sep,4134934
2012-Oct,3844052
2012-Nov,3738653
2012-Dec,3992540
2013-Jan,3726946
2013-Feb,3182700
2013-Mar,4167173
2013-Apr,3964978
2013-May,4323261
2013-Jun,4596311
2013-Jul,4968173
2013-Aug,5088447
2013-Sep,4210409
2013-Oct,4209188
2013-Nov,3717622
2013-Dec,4295150
2014-Jan,3732908
2014-Feb,3240578
2014-Mar,4134490
2014-Apr,4410994
2014-May,4688566
2014-Jun,4838571
2014-Jul,5232463
2014-Aug,5477187
2014-Sep,4541012
2014-Oct,4513281
2014-Nov,3960179
2014-Dec,4447521
2015-Jan,3952123
2015-Feb,3525008
2015-Mar,4417086
2015-Apr,4634132
2015-May,4965684
2015-Jun,5153820
2015-Jul,5647863
2015-Aug,5809724
2015-Sep,4782097
2015-Oct,4900066
2015-Nov,4342058
2015-Dec,4697493
