date,price
2017-03-19,1029.8008125000001
2017-03-22,1028.7268625
2017-03-25,959.3400857142857
2017-03-28,1046.127625
2017-03-31,1079.5493142857142
2017-04-03,1141.813
2017-04-06,1196.3079375
2017-04-09,1208.8005
2017-04-12,1218.92205
2017-04-15,1184.8806714285713
2017-04-18,1216.1867428571427
2017-04-21,1258.3614125
2017-04-24,1262.902775
2017-04-27,1345.3539125
2017-04-30,1353.0045
2017-05-03,1507.5768571428573
2017-05-06,1560.4102
2017-05-09,1721.2849714285715
2017-05-12,1720.4785
2017-05-15,1723.1269375
2017-05-18,1899.0828875
2017-05-21,2046.5344625
2017-05-24,2379.1938333333333
2017-05-27,2014.0529625
2017-05-30,2239.2053428571426
2017-06-02,2446.142414285714
2017-06-05,2698.3138125
2017-06-08,2792.9991875
2017-06-11,2961.8296124999997
2017-06-14,2447.0415625
2017-06-17,2665.927
2017-06-20,2754.97825
2017-06-23,2710.4122857142856
2017-06-26,2436.4510571428573
2017-06-29,2544.414475
2017-07-02,2501.191342857143
2017-07-05,2619.1875030042856
2017-07-08,2562.1306624999997
2017-07-11,2369.8621285714285
2017-07-14,2190.947833333333
2017-07-17,2176.6234875
2017-07-20,2898.1884166666664
2017-07-23,2725.549716666667
2017-07-26,2495.028585714286
2017-07-29,2722.512785714286
2017-08-01,2710.4130666666665
2017-08-04,2873.8510833333335
2017-08-07,3407.2268333333336
2017-08-10,3424.4042000000004
2017-08-13,4125.54802
2017-08-16,4360.876871428572
2017-08-19,4222.662214285714
2017-08-22,4082.180983333333
2017-08-25,4363.05445
2017-08-28,4391.673516666667
2017-08-31,4748.255
2017-09-03,4648.159983333334
2017-09-06,4641.822016666666
2017-09-09,4375.55952
2017-09-12,4219.036616666667
2017-09-15,3774.2652833333336
2017-09-18,4093.316666666667
2017-09-21,3658.8981833333332
2017-09-24,3703.0406500000004
2017-09-27,4202.554983333333
2017-09-30,4335.368316666667
2017-10-03,4293.3066
2017-10-06,4345.6033333333335
2017-10-09,4777.967816666666
2017-10-12,5325.130683333333
2017-10-15,5647.311666666667
2017-10-18,5546.176100000001
2017-10-21,6020.371683333334
2017-10-24,5505.827766666666
2017-10-27,5772.504983333333
2017-10-30,6105.87422
2017-11-02,7068.020100000001
2017-11-05,7377.012366666667
2017-11-08,7415.878250000001
2017-11-11,6362.851033333333
2017-11-14,6635.412633333333
2017-11-17,7786.884366666666
2017-11-20,8255.596816666666
2017-11-23,8148.95
2017-11-26,9284.1438
2017-11-29,9879.328333333333
2017-12-02,11071.368333333332
2017-12-05,11878.433333333334
2017-12-08,16007.436666666666
2017-12-11,16762.116666666665
2017-12-14,16678.892
2017-12-17,19289.785
2017-12-20,16026.271666666667
2017-12-23,15360.261666666667
2017-12-26,15999.048333333332
2017-12-29,14640.14
2018-01-01,13812.186666666666
2018-01-04,15199.355000000001
2018-01-07,16651.471666666668
2018-01-10,15126.398333333333
2018-01-13,14499.773333333333
2018-01-16,11180.998333333331
2018-01-19,11422.44
2018-01-22,10544.593333333332
2018-01-25,11214.44
2018-01-28,11765.71
2018-01-31,10125.013333333334
2018-02-03,9076.678333333333
2018-02-06,7685.633333333334
2018-02-09,8535.516666666668
2018-02-12,8811.343333333332
2018-02-15,9977.154
2018-02-18,10503.298333333334
2018-02-21,10532.791666666666
2018-02-24,9697.956
2018-02-27,10763.883333333333
2018-03-02,11055.815
2018-03-05,11595.54
2018-03-08,9429.111666666666
2018-03-11,9761.396666666666
2018-03-14,8151.531666666667
2018-03-17,7993.674643641666
2018-03-20,8986.948333333334
2018-03-23,8686.826666666666
2018-03-26,8197.548333333334
2018-03-29,7172.28
2018-04-01,6794.105
2018-04-04,6787.761666666666
2018-04-07,6927.688
2018-04-10,6787.571666666667
2018-04-13,7895.408333333333
2018-04-16,8043.803333333333
2018-04-19,8254.625
2018-04-22,8838.548333333334
2018-04-25,8995.506666666666
2018-04-28,9326.173333333334
2018-05-01,9075.136666666667
2018-05-04,9710.730000000001
2018-05-07,9345.689999999999
2018-05-10,9101.483333333334
2018-05-13,8727.651666666667
2018-05-16,8340.703333333333
2018-05-19,8223.288333333334
2018-05-22,8015.580000000001
2018-05-25,7445.238333333334
2018-05-28,7130.541666666667
2018-05-31,7491.433999999999
2018-06-03,7699.886
2018-06-06,7655.613333333334
2018-06-09,7564.408333333333
2018-06-12,6535.081666666666
2018-06-15,6434.088000000001
2018-06-18,6713.488
2018-06-21,6733.901666666668
2018-06-24,6037.008333333334
2018-06-27,6105.295000000001
2018-06-30,6381.390833333334
2018-07-03,6613.685833333333
2018-07-06,6569.496153846154
2018-07-09,6723.8725
2018-07-12,6233.595
2018-07-15,6316.881666666667
2018-07-18,7398.661666666667
2018-07-21,7352.495384615385
2018-07-24,8112.93
2018-07-27,8025.2575
2018-07-30,8143.1483333333335
2018-08-02,7593.149166666667
2018-08-05,6998.718333333333
2018-08-08,6450.366923076922
2018-08-11,6195.653333333335
2018-08-14,6050.942500000001
2018-08-17,6476.900000000001
2018-08-20,6434.559166666667
2018-08-23,6434.881666666667
2018-08-26,6673.274166666666
2018-08-29,7054.276428571429
2018-09-01,7100.946666666667
2018-09-04,7326.8525
2018-09-07,6444.804166666668
2018-09-10,6297.877692307693
2018-09-13,6450.179230769231
2018-09-16,6480.644166666668
2018-09-19,6335.826666666665
2018-09-22,6709.312500000001
2018-09-25,6412.459166666667
2018-09-28,6677.342500000002
2018-10-01,6590.968333333334
2018-10-04,6563.628333333333
2018-10-07,6558.537499999999
2018-10-10,6563.009166666667
2018-10-13,6260.645833333335
2018-10-16,6596.618333333333
2018-10-19,6487.444166666667
2018-10-22,6498.485833333333
2018-10-25,6478.0825
2018-10-28,6448.221666666667
2018-10-31,6310.284166666667
2018-11-03,6363.795833333334
2018-11-06,6445.354166666667
2018-11-09,6411.280833333333
2018-11-12,6401.936666666667
2018-11-15,5615.179999999999
2018-11-18,5606.044166666667
2018-11-21,4533.680833333334
2018-11-24,4293.840833333333
2018-11-27,3751.6683333333344
2018-11-30,4106.871666666667
2018-12-03,3967.5241666666666
2018-12-06,3742.943333333334
2018-12-09,3528.8033333333333
2018-12-12,3462.0399999999995
2018-12-15,3225.299166666667
2018-12-18,3567.47
2018-12-21,4015.6091666666666
2018-12-24,4178.590833333333
2018-12-27,3747.839166666666
2018-12-30,3832.9216666666666
2019-01-02,3867.138333333334
2019-01-05,3868.4875000000006
2019-01-08,4035.8549999999996
2019-01-11,3656.7358333333327
2019-01-14,3604.1175
2019-01-17,3619.9641666666666
2019-01-20,3620.1275
2019-01-23,3579.896666666666
2019-01-26,3589.2608333333337
2019-01-29,3417.1675
2019-02-01,3454.194615384615
2019-02-04,3452.3283333333334
2019-02-07,3403.9641666666666
2019-02-10,3645.2766666666666
2019-02-13,3623.0716666666667
2019-02-16,3630.396666666666
2019-02-19,3933.1433333333334
2019-02-22,3968.6566666666663
2019-02-25,3829.568333333334
2019-02-28,3843.5833333333335
2019-03-03,3827.6908333333326
2019-03-06,3863.3333333333335
2019-03-09,3919.5658333333336
2019-03-12,3880.7675
2019-03-15,3918.0866666666666
2019-03-18,3998.4975
2019-03-21,4026.6358333333333
2019-03-24,3995.3233333333333
2019-03-27,4011.3658333333333
2019-03-30,4107.340833333334
2019-04-02,4675.1125
2019-04-05,4980.8983333333335
2019-04-08,5214.276666666666
2019-04-11,5111.7707692307695
2019-04-14,5077.805
2019-04-17,5214.574166666666
2019-04-20,5302.9575
2019-04-23,5527.801666666666
2019-04-26,5280.616666666666
2019-04-29,5277.883333333334
2019-05-02,5364.991666666667
2019-05-05,5718.229166666667
2019-05-08,5851.670769230769
2019-05-11,6833.350833333334
2019-05-14,8005.250833333334
2019-05-17,7265.963333333332
2019-05-20,7926.704999999999
2019-05-23,7688.525833333332
2019-05-26,8114.932499999999
2019-05-29,8646.195000000002
2019-06-01,8543.03
2019-06-04,7848.4158333333335
2019-06-07,7920.945000000001
2019-06-10,7815.135833333333
2019-06-13,8163.663333333334
2019-06-16,9096.285833333333
2019-06-19,9147.005
2019-06-22,10730.391666666666
2019-06-25,11314.76153846154
2019-06-28,11665.575833333334
2019-07-01,10690.833333333336
2019-07-04,11779.450833333334
2019-07-07,11310.506666666668
2019-07-10,12668.629166666668
2019-07-13,11412.124166666668
2019-07-16,10300.411666666667
2019-07-19,10455.73
2019-07-22,10449.626666666667
2019-07-25,10021.325
2019-07-28,9500.324166666665
2019-07-31,9873.811666666668
2019-08-03,10790.63
2019-08-06,11759.019166666667
2019-08-09,11816.912499999999
2019-08-12,11397.801666666666
2019-08-15,9988.947499999998
2019-08-18,10295.117500000002
2019-08-21,10169.094166666666
2019-08-24,10158.540833333334
2019-08-27,10176.794166666667
2019-08-30,9539.253333333334
2019-09-02,9937.605000000001
2019-09-05,10559.038333333332
2019-09-08,10471.5125
2019-09-11,10045.765000000001
2019-09-14,10338.066666666668
2019-09-17,10217.2025
2019-09-20,10178.476666666667
2019-09-23,9879.955833333333
2019-09-26,8257.246666666666
2019-09-29,8086.552499999999
2019-10-02,8261.832499999999
2019-10-05,8108.091666666666
2019-10-08,8213.045833333332
2019-10-11,8399.646666666667
2019-10-14,8303.233333333334
2019-10-17,8030.578333333335
2019-10-20,8018.903333333333
2019-10-23,7775.298333333333
2019-10-26,9292.025
2019-10-29,9385.6
2019-11-01,9147.238333333335
2019-11-04,9266.700833333334
2019-11-07,9241.038333333334
2019-11-10,8896.403333333334
