Time,Water flow [l/s]
2022-03-23T09:00:00+01:00,101.24
2022-03-23T10:00:00+01:00,101.16
2022-03-23T11:00:00+01:00,101.09
2022-03-23T12:00:00+01:00,101.1
2022-03-23T13:00:00+01:00,100.8
2022-03-23T14:00:00+01:00,100.59
2022-03-23T15:00:00+01:00,100.39
2022-03-23T16:00:00+01:00,100.55
2022-03-23T17:00:00+01:00,100.77
2022-03-23T18:00:00+01:00,101.08
2022-03-23T19:00:00+01:00,101.27
2022-03-23T20:00:00+01:00,101.18
2022-03-23T21:00:00+01:00,101.11
2022-03-23T22:00:00+01:00,100.95
2022-03-23T23:00:00+01:00,101.01
2022-03-24T00:00:00+01:00,100.65
2022-03-24T01:00:00+01:00,100.19
2022-03-24T02:00:00+01:00,100.28
2022-03-24T03:00:00+01:00,100.17
2022-03-24T04:00:00+01:00,100.75
2022-03-24T05:00:00+01:00,100.91
2022-03-24T06:00:00+01:00,101.55
2022-03-24T07:00:00+01:00,102.31
2022-03-24T08:00:00+01:00,97.22
2022-03-24T09:00:00+01:00,51.53
2022-03-24T10:00:00+01:00,47.98
2022-03-24T11:00:00+01:00,24.27
2022-03-24T12:00:00+01:00,24.28
2022-03-24T13:00:00+01:00,24.28
2022-03-24T14:00:00+01:00,24.28
2022-03-24T15:00:00+01:00,24.26
2022-03-24T16:00:00+01:00,24.26
2022-03-24T17:00:00+01:00,24.26
2022-03-24T18:00:00+01:00,24.27
2022-03-24T19:00:00+01:00,24.26
2022-03-24T20:00:00+01:00,24.26
2022-03-24T21:00:00+01:00,24.27
2022-03-24T22:00:00+01:00,28.38
2022-03-24T23:00:00+01:00,56.77
2022-03-25T00:00:00+01:00,75.33
2022-03-25T01:00:00+01:00,92.21
2022-03-25T02:00:00+01:00,101.27
2022-03-25T03:00:00+01:00,100.53
2022-03-25T04:00:00+01:00,99
2022-03-25T05:00:00+01:00,99.2
2022-03-25T06:00:00+01:00,101.22
2022-03-25T07:00:00+01:00,104.23
2022-03-25T08:00:00+01:00,104.6
2022-03-25T09:00:00+01:00,105.17
2022-03-25T10:00:00+01:00,104.03
2022-03-25T11:00:00+01:00,103.93
2022-03-25T12:00:00+01:00,103.87
2022-03-25T13:00:00+01:00,104.02
2022-03-25T14:00:00+01:00,103.45
2022-03-25T15:00:00+01:00,102.81
2022-03-25T16:00:00+01:00,102.9
2022-03-25T17:00:00+01:00,102.97
2022-03-25T18:00:00+01:00,103.12
2022-03-25T19:00:00+01:00,103.32
2022-03-25T20:00:00+01:00,103.13
2022-03-25T21:00:00+01:00,103.26
2022-03-25T22:00:00+01:00,102.93
2022-03-25T23:00:00+01:00,102.79
2022-03-26T00:00:00+01:00,102.72
2022-03-26T01:00:00+01:00,102.36
2022-03-26T02:00:00+01:00,102.02
2022-03-26T03:00:00+01:00,101.42
2022-03-26T04:00:00+01:00,101.9
2022-03-26T05:00:00+01:00,101.57
2022-03-26T06:00:00+01:00,102.26
2022-03-26T07:00:00+01:00,103.28
2022-03-26T08:00:00+01:00,104.02
2022-03-26T09:00:00+01:00,104.01
2022-03-26T10:00:00+01:00,103.9
2022-03-26T11:00:00+01:00,103.97
2022-03-26T12:00:00+01:00,103.56
2022-03-26T13:00:00+01:00,103.6
2022-03-26T14:00:00+01:00,103.62
2022-03-26T15:00:00+01:00,103.48
2022-03-26T16:00:00+01:00,103.55
2022-03-26T17:00:00+01:00,103.52
2022-03-26T18:00:00+01:00,103.59
2022-03-26T19:00:00+01:00,103.51
2022-03-26T20:00:00+01:00,103.45
2022-03-26T21:00:00+01:00,103.12
2022-03-26T22:00:00+01:00,102.92
2022-03-26T23:00:00+01:00,102.68
2022-03-27T00:00:00+01:00,101.94
2022-03-27T01:00:00+01:00,101.94
2022-03-27T03:00:00+02:00,101.53
2022-03-27T04:00:00+02:00,101.48
2022-03-27T05:00:00+02:00,101.43
2022-03-27T06:00:00+02:00,101.59
2022-03-27T07:00:00+02:00,102.38
2022-03-27T08:00:00+02:00,102.39
2022-03-27T09:00:00+02:00,103.14
2022-03-27T10:00:00+02:00,103.58
2022-03-27T11:00:00+02:00,103.62
2022-03-27T12:00:00+02:00,103.52
2022-03-27T13:00:00+02:00,103.42
2022-03-27T14:00:00+02:00,103.3
2022-03-27T15:00:00+02:00,103.28
2022-03-27T16:00:00+02:00,103.13
2022-03-27T17:00:00+02:00,103.18
2022-03-27T18:00:00+02:00,103.19
2022-03-27T19:00:00+02:00,102.86
2022-03-27T20:00:00+02:00,102.15
2022-03-27T21:00:00+02:00,102.35
2022-03-27T22:00:00+02:00,101.75
2022-03-27T23:00:00+02:00,101.46
2022-03-28T00:00:00+02:00,101.1
2022-03-28T01:00:00+02:00,100.52
2022-03-28T02:00:00+02:00,100.42
2022-03-28T03:00:00+02:00,100.51
2022-03-28T04:00:00+02:00,100.56
2022-03-28T05:00:00+02:00,100.44
2022-03-28T06:00:00+02:00,100.97
2022-03-28T07:00:00+02:00,102.35
2022-03-28T08:00:00+02:00,102.5
2022-03-28T09:00:00+02:00,102.93
2022-03-28T10:00:00+02:00,104.23
2022-03-28T11:00:00+02:00,104.31
2022-03-28T12:00:00+02:00,104.35
2022-03-28T13:00:00+02:00,104.45
2022-03-28T14:00:00+02:00,105
2022-03-28T15:00:00+02:00,104.86
2022-03-28T16:00:00+02:00,104.89
2022-03-28T17:00:00+02:00,105.44
2022-03-28T18:00:00+02:00,105.25
2022-03-28T19:00:00+02:00,105.03
2022-03-28T20:00:00+02:00,105.04
2022-03-28T21:00:00+02:00,105.45
2022-03-28T22:00:00+02:00,105.34
2022-03-28T23:00:00+02:00,105.26
2022-03-29T00:00:00+02:00,105.36
2022-03-29T01:00:00+02:00,105.47
2022-03-29T02:00:00+02:00,105.14
2022-03-29T03:00:00+02:00,105.18
2022-03-29T05:00:00+02:00,105.34
2022-03-29T06:00:00+02:00,106.09
2022-03-29T07:00:00+02:00,107.26
2022-03-29T08:00:00+02:00,95.31
2022-03-29T09:00:00+02:00,24.27
2022-03-29T10:00:00+02:00,24.26
2022-03-29T11:00:00+02:00,24.26
2022-03-29T12:00:00+02:00,24.26
2022-03-29T13:00:00+02:00,24.26
2022-03-29T14:00:00+02:00,24.26
2022-03-29T15:00:00+02:00,24.25
2022-03-29T16:00:00+02:00,34.37
2022-03-29T17:00:00+02:00,59.21
2022-03-29T18:00:00+02:00,66.68
2022-03-29T19:00:00+02:00,73.78
2022-03-29T20:00:00+02:00,81.92
2022-03-29T21:00:00+02:00,98.77
2022-03-29T22:00:00+02:00,103.74
2022-03-29T23:00:00+02:00,103
2022-03-30T00:00:00+02:00,102.97
2022-03-30T01:00:00+02:00,102.59
2022-03-30T02:00:00+02:00,102.58
2022-03-30T03:00:00+02:00,102.55
2022-03-30T04:00:00+02:00,102.45
2022-03-30T05:00:00+02:00,102.52
2022-03-30T06:00:00+02:00,102.88
2022-03-30T07:00:00+02:00,102.67
2022-03-30T08:00:00+02:00,101.46
2022-03-30T09:00:00+02:00,101.48
2022-03-30T10:00:00+02:00,101.73
2022-03-30T11:00:00+02:00,101.85
2022-03-30T12:00:00+02:00,102.03
2022-03-30T13:00:00+02:00,102.11
2022-03-30T14:00:00+02:00,101.95
2022-03-30T15:00:00+02:00,101.86
2022-03-30T16:00:00+02:00,101.87
2022-03-30T17:00:00+02:00,101.84
2022-03-30T18:00:00+02:00,102.08
2022-03-30T19:00:00+02:00,101.95
2022-03-30T20:00:00+02:00,101.68
2022-03-30T21:00:00+02:00,101.64
2022-03-30T22:00:00+02:00,101.51
2022-03-30T23:00:00+02:00,101.29
2022-03-31T00:00:00+02:00,101
2022-03-31T01:00:00+02:00,100.84
2022-03-31T02:00:00+02:00,100.85
2022-03-31T03:00:00+02:00,100.82
2022-03-31T04:00:00+02:00,100.38
2022-03-31T05:00:00+02:00,100.28
2022-03-31T06:00:00+02:00,100.48
2022-03-31T07:00:00+02:00,101.8
2022-03-31T08:00:00+02:00,102.01
2022-03-31T09:00:00+02:00,102.23
2022-03-31T10:00:00+02:00,102.58
2022-03-31T11:00:00+02:00,102.66
2022-03-31T12:00:00+02:00,102.49
2022-03-31T13:00:00+02:00,102.48
2022-03-31T14:00:00+02:00,102.38
2022-03-31T15:00:00+02:00,102.16
2022-03-31T16:00:00+02:00,102.06
2022-03-31T17:00:00+02:00,101.84
2022-03-31T18:00:00+02:00,102.06
2022-03-31T19:00:00+02:00,102.45
2022-03-31T20:00:00+02:00,102.2
2022-03-31T21:00:00+02:00,102.36
2022-03-31T22:00:00+02:00,102.4
2022-03-31T23:00:00+02:00,102.02
2022-04-01T00:00:00+02:00,101.44
2022-04-01T01:00:00+02:00,101.26
2022-04-01T02:00:00+02:00,101.22
2022-04-01T03:00:00+02:00,101.16
2022-04-01T04:00:00+02:00,100.8
2022-04-01T05:00:00+02:00,101.14
2022-04-01T06:00:00+02:00,101.49
2022-04-01T07:00:00+02:00,102.19
2022-04-01T08:00:00+02:00,101.98
2022-04-01T09:00:00+02:00,102.09
2022-04-01T10:00:00+02:00,102.21
2022-04-01T11:00:00+02:00,102.28
2022-04-01T12:00:00+02:00,101.76
2022-04-01T13:00:00+02:00,102.11
2022-04-01T14:00:00+02:00,101.94
2022-04-01T15:00:00+02:00,101.84
2022-04-01T16:00:00+02:00,101.7
2022-04-01T17:00:00+02:00,101.47
2022-04-01T18:00:00+02:00,101.57
2022-04-01T19:00:00+02:00,101.92
2022-04-01T20:00:00+02:00,101.82
2022-04-01T21:00:00+02:00,101.76
2022-04-01T22:00:00+02:00,101.82
2022-04-01T23:00:00+02:00,101.39
2022-04-02T00:00:00+02:00,101.03
2022-04-02T01:00:00+02:00,100.73
2022-04-02T02:00:00+02:00,100.49
2022-04-02T03:00:00+02:00,100.42
2022-04-02T04:00:00+02:00,100.07
2022-04-02T05:00:00+02:00,100.28
2022-04-02T06:00:00+02:00,100.63
2022-04-02T07:00:00+02:00,101.53
2022-04-02T08:00:00+02:00,101.82
2022-04-02T09:00:00+02:00,102.19
2022-04-02T10:00:00+02:00,102.28
2022-04-02T11:00:00+02:00,102.42
2022-04-02T12:00:00+02:00,102.37
2022-04-02T13:00:00+02:00,102.35
2022-04-02T14:00:00+02:00,102.3
2022-04-02T15:00:00+02:00,102.21
2022-04-02T16:00:00+02:00,102.16
2022-04-02T17:00:00+02:00,101.81
2022-04-02T18:00:00+02:00,101.83
2022-04-02T19:00:00+02:00,102.06
2022-04-02T20:00:00+02:00,101.68
2022-04-02T21:00:00+02:00,101.68
2022-04-02T22:00:00+02:00,101.77
2022-04-02T23:00:00+02:00,101.6
2022-04-03T00:00:00+02:00,101.07
2022-04-03T01:00:00+02:00,100.61
2022-04-03T02:00:00+02:00,100.59
2022-04-03T03:00:00+02:00,100.55
2022-04-03T04:00:00+02:00,100.5
2022-04-03T05:00:00+02:00,102.65
2022-04-03T06:00:00+02:00,109.68
2022-04-03T07:00:00+02:00,101.08
2022-04-03T08:00:00+02:00,101.39
2022-04-03T09:00:00+02:00,102.02
2022-04-03T10:00:00+02:00,103.13
2022-04-03T11:00:00+02:00,103.28
2022-04-03T12:00:00+02:00,103.09
2022-04-03T13:00:00+02:00,103.01
2022-04-03T14:00:00+02:00,103.04
2022-04-03T15:00:00+02:00,102.84
2022-04-03T16:00:00+02:00,102.56
2022-04-03T17:00:00+02:00,102.06
2022-04-03T18:00:00+02:00,101.16
2022-04-03T19:00:00+02:00,101.23
2022-04-03T20:00:00+02:00,101.13
2022-04-03T21:00:00+02:00,101.1
2022-04-03T22:00:00+02:00,100.72
2022-04-03T23:00:00+02:00,100.48
2022-04-04T00:00:00+02:00,100.46
2022-04-04T01:00:00+02:00,100.35
2022-04-04T02:00:00+02:00,100.18
2022-04-04T03:00:00+02:00,100.11
2022-04-04T04:00:00+02:00,100.12
2022-04-04T05:00:00+02:00,100.06
2022-04-04T06:00:00+02:00,100.45
2022-04-04T07:00:00+02:00,101.26
2022-04-04T08:00:00+02:00,102.63
2022-04-04T09:00:00+02:00,102.93
2022-04-04T10:00:00+02:00,103.27
2022-04-04T11:00:00+02:00,103.33
2022-04-04T12:00:00+02:00,103.12
2022-04-04T13:00:00+02:00,102.88
2022-04-04T14:00:00+02:00,102.64
2022-04-04T15:00:00+02:00,102.41
2022-04-04T16:00:00+02:00,102.6
2022-04-04T17:00:00+02:00,102.58
2022-04-04T18:00:00+02:00,102.22
2022-04-04T19:00:00+02:00,102.39
2022-04-04T20:00:00+02:00,102.23
2022-04-04T21:00:00+02:00,102.54
2022-04-04T22:00:00+02:00,102.36
2022-04-04T23:00:00+02:00,101.73
2022-04-05T00:00:00+02:00,101.54
2022-04-05T01:00:00+02:00,101.26
2022-04-05T02:00:00+02:00,101.07
2022-04-05T03:00:00+02:00,101.01
2022-04-05T04:00:00+02:00,101.03
2022-04-05T05:00:00+02:00,100.82
2022-04-05T06:00:00+02:00,101.54
2022-04-05T07:00:00+02:00,102.34
2022-04-05T08:00:00+02:00,102.27
2022-04-05T09:00:00+02:00,102.52
2022-04-05T10:00:00+02:00,102.74
2022-04-05T11:00:00+02:00,102.86
2022-04-05T12:00:00+02:00,102.91
2022-04-05T13:00:00+02:00,103
2022-04-05T14:00:00+02:00,102.87
2022-04-05T15:00:00+02:00,102.7
2022-04-05T16:00:00+02:00,102.42
2022-04-05T17:00:00+02:00,102.31
2022-04-05T18:00:00+02:00,102.3
2022-04-05T19:00:00+02:00,102.61
2022-04-05T20:00:00+02:00,102.44
2022-04-05T21:00:00+02:00,102.38
2022-04-05T22:00:00+02:00,102.47
2022-04-05T23:00:00+02:00,102.25
2022-04-06T00:00:00+02:00,101.89
2022-04-06T01:00:00+02:00,101.34
2022-04-06T02:00:00+02:00,101.28
2022-04-06T03:00:00+02:00,101.18
2022-04-06T04:00:00+02:00,101.09
2022-04-06T05:00:00+02:00,101.23
2022-04-06T06:00:00+02:00,101.71
2022-04-06T07:00:00+02:00,102.29
2022-04-06T08:00:00+02:00,101.95
2022-04-06T09:00:00+02:00,101.87
2022-04-06T10:00:00+02:00,101.45
2022-04-06T11:00:00+02:00,101.92
2022-04-06T12:00:00+02:00,101.96
2022-04-06T13:00:00+02:00,102.05
2022-04-06T14:00:00+02:00,101.95
2022-04-06T15:00:00+02:00,101.8
2022-04-06T16:00:00+02:00,101.69
2022-04-06T17:00:00+02:00,101.41
2022-04-06T18:00:00+02:00,101.56
2022-04-06T19:00:00+02:00,101.68
2022-04-06T20:00:00+02:00,101.47
2022-04-06T21:00:00+02:00,101.63
2022-04-06T22:00:00+02:00,101.47
2022-04-06T23:00:00+02:00,100.96
2022-04-07T00:00:00+02:00,100.67
2022-04-07T01:00:00+02:00,100.43
2022-04-07T02:00:00+02:00,100.32
2022-04-07T03:00:00+02:00,100.2
2022-04-07T04:00:00+02:00,100.17
2022-04-07T05:00:00+02:00,100.03
2022-04-07T06:00:00+02:00,100.66
2022-04-07T07:00:00+02:00,101.65
2022-04-07T08:00:00+02:00,101.33
2022-04-07T09:00:00+02:00,101.61
2022-04-07T10:00:00+02:00,101.87
2022-04-07T11:00:00+02:00,102.04
2022-04-07T12:00:00+02:00,102.22
2022-04-07T13:00:00+02:00,101.98
2022-04-07T14:00:00+02:00,102.11
2022-04-07T15:00:00+02:00,101.9
2022-04-07T16:00:00+02:00,101.83
2022-04-07T17:00:00+02:00,101.64
2022-04-07T18:00:00+02:00,101.58
2022-04-07T19:00:00+02:00,101.65
2022-04-07T20:00:00+02:00,101.44
2022-04-07T21:00:00+02:00,101.69
2022-04-07T22:00:00+02:00,101.57
2022-04-07T23:00:00+02:00,101.33
2022-04-08T00:00:00+02:00,101.09
2022-04-08T01:00:00+02:00,100.43
2022-04-08T02:00:00+02:00,100.13
2022-04-08T03:00:00+02:00,99.87
2022-04-08T04:00:00+02:00,99.66
2022-04-08T05:00:00+02:00,99.6
2022-04-08T06:00:00+02:00,100.53
2022-04-08T07:00:00+02:00,101.48
2022-04-08T08:00:00+02:00,101.34
2022-04-08T09:00:00+02:00,101.57
2022-04-08T10:00:00+02:00,101.62
2022-04-08T11:00:00+02:00,101.83
2022-04-08T12:00:00+02:00,101.76
2022-04-08T13:00:00+02:00,101.74
2022-04-08T14:00:00+02:00,101.66
2022-04-08T15:00:00+02:00,101.3
2022-04-08T16:00:00+02:00,101.66
2022-04-08T17:00:00+02:00,101.97
2022-04-08T18:00:00+02:00,102.37
2022-04-08T19:00:00+02:00,102.35
2022-04-08T20:00:00+02:00,102.14
2022-04-08T21:00:00+02:00,101.96
2022-04-08T22:00:00+02:00,101.07
2022-04-08T23:00:00+02:00,100.57
2022-04-09T00:00:00+02:00,100.41
2022-04-09T01:00:00+02:00,100.1
2022-04-09T02:00:00+02:00,100.07
2022-04-09T03:00:00+02:00,99.88
2022-04-09T04:00:00+02:00,100
2022-04-09T05:00:00+02:00,100.01
2022-04-09T06:00:00+02:00,100.38
2022-04-09T07:00:00+02:00,101.25
2022-04-09T08:00:00+02:00,101.56
2022-04-09T09:00:00+02:00,101.9
2022-04-09T10:00:00+02:00,102.06
2022-04-09T11:00:00+02:00,102.37
2022-04-09T12:00:00+02:00,102.79
2022-04-09T13:00:00+02:00,103.64
2022-04-09T14:00:00+02:00,103.71
2022-04-09T15:00:00+02:00,103.48
2022-04-09T16:00:00+02:00,103.44
2022-04-09T17:00:00+02:00,103.33
2022-04-09T18:00:00+02:00,103.1
2022-04-09T19:00:00+02:00,102.96
2022-04-09T20:00:00+02:00,102.82
2022-04-09T21:00:00+02:00,102.55
2022-04-09T22:00:00+02:00,102.42
2022-04-09T23:00:00+02:00,102.16
2022-04-10T00:00:00+02:00,101.69
2022-04-10T01:00:00+02:00,101.04
2022-04-10T02:00:00+02:00,100.96
2022-04-10T03:00:00+02:00,100.95
2022-04-10T04:00:00+02:00,100.89
2022-04-10T05:00:00+02:00,100.89
2022-04-10T06:00:00+02:00,101.14
2022-04-10T07:00:00+02:00,101.74
2022-04-10T08:00:00+02:00,102.23
2022-04-10T09:00:00+02:00,102.84
2022-04-10T10:00:00+02:00,103.04
2022-04-10T11:00:00+02:00,103.09
2022-04-10T12:00:00+02:00,102.84
2022-04-10T13:00:00+02:00,102.72
2022-04-10T14:00:00+02:00,102.67
2022-04-10T15:00:00+02:00,102.66
2022-04-10T16:00:00+02:00,102.38
2022-04-10T17:00:00+02:00,102.17
2022-04-10T18:00:00+02:00,101.68
2022-04-10T19:00:00+02:00,102.15
2022-04-10T20:00:00+02:00,102.08
2022-04-10T21:00:00+02:00,102.03
2022-04-10T22:00:00+02:00,101.93
2022-04-10T23:00:00+02:00,101.84
2022-04-11T00:00:00+02:00,101.4
2022-04-11T01:00:00+02:00,101.18
2022-04-11T02:00:00+02:00,100.96
2022-04-11T03:00:00+02:00,100.86
2022-04-11T04:00:00+02:00,100.79
2022-04-11T05:00:00+02:00,100.94
2022-04-11T06:00:00+02:00,101.5
2022-04-11T07:00:00+02:00,102.32
2022-04-11T08:00:00+02:00,102.18
2022-04-11T09:00:00+02:00,102.28
2022-04-11T10:00:00+02:00,101.36
2022-04-11T11:00:00+02:00,101.42
2022-04-11T12:00:00+02:00,101.36
2022-04-11T13:00:00+02:00,101.45
2022-04-11T14:00:00+02:00,101.42
2022-04-11T15:00:00+02:00,101.34
2022-04-11T16:00:00+02:00,100.83
2022-04-11T17:00:00+02:00,101.13
2022-04-11T18:00:00+02:00,101.29
2022-04-11T19:00:00+02:00,101.64
2022-04-11T20:00:00+02:00,101.51
2022-04-11T21:00:00+02:00,101.27
2022-04-11T22:00:00+02:00,101.28
2022-04-11T23:00:00+02:00,100.53
2022-04-12T00:00:00+02:00,100.26
2022-04-12T01:00:00+02:00,100.06
2022-04-12T02:00:00+02:00,99.67
2022-04-12T03:00:00+02:00,99.63
2022-04-12T04:00:00+02:00,99.58
2022-04-12T05:00:00+02:00,99.39
2022-04-12T06:00:00+02:00,100.21
2022-04-12T07:00:00+02:00,101.39
2022-04-12T08:00:00+02:00,101.17
2022-04-12T09:00:00+02:00,101.91
2022-04-12T10:00:00+02:00,102.2
2022-04-12T11:00:00+02:00,102.44
2022-04-12T12:00:00+02:00,102.38
2022-04-12T13:00:00+02:00,102.52
2022-04-12T14:00:00+02:00,101.84
2022-04-12T15:00:00+02:00,102.04
2022-04-12T16:00:00+02:00,102.17
2022-04-12T17:00:00+02:00,101.77
2022-04-12T18:00:00+02:00,101.83
2022-04-12T19:00:00+02:00,102.13
2022-04-12T20:00:00+02:00,102.04
2022-04-12T21:00:00+02:00,102.3
2022-04-12T22:00:00+02:00,101.88
2022-04-12T23:00:00+02:00,101.78
2022-04-13T00:00:00+02:00,101.12
2022-04-13T01:00:00+02:00,100.69
2022-04-13T02:00:00+02:00,100.53
2022-04-13T03:00:00+02:00,100.43
2022-04-13T04:00:00+02:00,100.5
2022-04-13T05:00:00+02:00,100.51
2022-04-13T06:00:00+02:00,101.01
2022-04-13T07:00:00+02:00,101.94
2022-04-13T08:00:00+02:00,101.76
2022-04-13T09:00:00+02:00,102.21
2022-04-13T10:00:00+02:00,102.7
2022-04-13T11:00:00+02:00,102.86
2022-04-13T12:00:00+02:00,102.88
2022-04-13T13:00:00+02:00,102.65
2022-04-13T14:00:00+02:00,102.73
2022-04-13T15:00:00+02:00,102.71
2022-04-13T16:00:00+02:00,102.5
2022-04-13T17:00:00+02:00,102.38
2022-04-13T18:00:00+02:00,102.61
2022-04-13T19:00:00+02:00,102.68
2022-04-13T20:00:00+02:00,102.45
2022-04-13T21:00:00+02:00,102.38
2022-04-13T22:00:00+02:00,102.69
2022-04-13T23:00:00+02:00,102.17
2022-04-14T00:00:00+02:00,101.88
2022-04-14T01:00:00+02:00,101.96
2022-04-14T02:00:00+02:00,101.71
2022-04-14T03:00:00+02:00,101.62
2022-04-14T04:00:00+02:00,101.53
2022-04-14T05:00:00+02:00,101.24
2022-04-14T06:00:00+02:00,101.65
2022-04-14T07:00:00+02:00,102.7
2022-04-14T08:00:00+02:00,103.06
2022-04-14T09:00:00+02:00,103.15
2022-04-14T10:00:00+02:00,103.2
2022-04-14T11:00:00+02:00,103.17
2022-04-14T12:00:00+02:00,103.06
2022-04-14T13:00:00+02:00,102.98
2022-04-14T14:00:00+02:00,102.92
2022-04-14T15:00:00+02:00,103.2
2022-04-14T16:00:00+02:00,103.16
2022-04-14T17:00:00+02:00,102.98
2022-04-14T18:00:00+02:00,103.14
2022-04-14T19:00:00+02:00,103.22
2022-04-14T20:00:00+02:00,103.09
2022-04-14T21:00:00+02:00,103.02
2022-04-14T22:00:00+02:00,102.78
2022-04-14T23:00:00+02:00,102.48
2022-04-15T00:00:00+02:00,101.77
2022-04-15T01:00:00+02:00,101.65
2022-04-15T02:00:00+02:00,101.39
2022-04-15T03:00:00+02:00,101.32
2022-04-15T04:00:00+02:00,101.29
2022-04-15T05:00:00+02:00,101.26
2022-04-15T06:00:00+02:00,101.73
2022-04-15T07:00:00+02:00,102.83
2022-04-15T08:00:00+02:00,102.79
2022-04-15T09:00:00+02:00,102.99
2022-04-15T10:00:00+02:00,103.07
2022-04-15T11:00:00+02:00,103
2022-04-15T12:00:00+02:00,102.86
2022-04-15T13:00:00+02:00,102.73
2022-04-15T14:00:00+02:00,102.97
2022-04-15T15:00:00+02:00,103.07
2022-04-15T16:00:00+02:00,102.43
2022-04-15T17:00:00+02:00,102.72
2022-04-15T18:00:00+02:00,102.43
2022-04-15T19:00:00+02:00,102.6
2022-04-15T20:00:00+02:00,102.22
2022-04-15T21:00:00+02:00,102.49
2022-04-15T22:00:00+02:00,102.34
2022-04-15T23:00:00+02:00,102.22
2022-04-16T00:00:00+02:00,101.68
2022-04-16T01:00:00+02:00,101.2
2022-04-16T02:00:00+02:00,100.97
2022-04-16T03:00:00+02:00,100.9
2022-04-16T04:00:00+02:00,100.94
2022-04-16T05:00:00+02:00,100.83
2022-04-16T06:00:00+02:00,101.29
2022-04-16T07:00:00+02:00,102.24
2022-04-16T08:00:00+02:00,102.51
2022-04-16T09:00:00+02:00,102.92
2022-04-16T10:00:00+02:00,102.96
2022-04-16T11:00:00+02:00,103.1
2022-04-16T12:00:00+02:00,102.92
2022-04-16T13:00:00+02:00,103.01
2022-04-16T14:00:00+02:00,103.09
2022-04-16T15:00:00+02:00,103.23
2022-04-16T16:00:00+02:00,103.06
2022-04-16T17:00:00+02:00,103.28
2022-04-16T18:00:00+02:00,103.34
2022-04-16T19:00:00+02:00,103.28
2022-04-16T20:00:00+02:00,103.12
2022-04-16T21:00:00+02:00,102.84
2022-04-16T22:00:00+02:00,102.41
2022-04-16T23:00:00+02:00,102.38
2022-04-17T00:00:00+02:00,102.13
2022-04-17T01:00:00+02:00,102.08
2022-04-17T02:00:00+02:00,101.69
2022-04-17T03:00:00+02:00,101.45
2022-04-17T04:00:00+02:00,100.91
2022-04-17T05:00:00+02:00,100.9
2022-04-17T06:00:00+02:00,101.15
