attrib1,attrib2,attrib3,class
4.287342,1.655851,1.214209,0
4.695995,0.34207,9.47377,0
0.601213,2.225297,5.620921,0
7.948327,3.179676,0.139521,1
2.325814,6.670603,0.800503,0
2.054336,8.904948,2.761415,1
3.91628,3.692545,6.343632,0
3.7646,7.784512,2.487122,1
2.680596,2.800605,3.552687,0
6.255495,3.517617,3.989925,1
6.603002,8.427548,2.210584,1
1.756386,0.6869,0.889772,1
8.937098,2.084578,0.226103,1
0.84915,4.344328,5.490468,0
7.949221,3.325313,0.334504,1
0.707189,5.997938,0.471632,0
8.014386,9.636826,7.858938,1
4.407644,7.947345,8.631001,1
0.111852,9.124532,8.1908,1
6.339917,4.211668,8.133746,1
5.557863,0.945505,8.74174,0
6.989484,6.508306,9.139321,1
5.050887,4.541247,6.864893,1
6.056184,2.548168,7.13125,0
1.946992,7.945329,0.437555,1
6.713838,1.300728,7.688007,0
0.76179,2.820797,8.748787,0
9.206874,7.038652,2.57403,1
5.266986,8.7425,1.198535,1
5.749842,0.081621,5.820786,0
5.340148,8.411214,3.55437,1
6.730801,6.529066,3.13142,1
1.735418,4.396801,9.865684,0
2.053082,9.133414,0.91593,1
6.646907,1.416214,6.651862,0
3.129816,4.247118,7.728644,0
7.027173,4.474944,3.387653,1
6.918528,9.567465,9.196949,1
1.400193,1.056092,8.156962,0
3.402061,8.777981,9.807532,1
9.534136,8.338835,5.063562,1
5.514848,7.488242,3.370784,1
1.152378,0.505149,0.162925,0
8.990059,0.501418,4.702607,1
2.628269,5.199173,4.583784,0
4.513673,5.597651,9.199264,1
3.789542,6.108629,0.045915,1
7.370416,8.876904,0.365666,1
1.735999,5.94454,6.960232,0
6.566711,2.770443,0.934915,1
9.604188,6.503073,6.084231,0
5.564436,9.886391,6.661047,0
0.714203,8.463322,2.021675,1
9.395449,9.626425,9.165267,1
6.549205,6.932893,5.663879,1
5.624847,5.763327,0.947083,1
3.348904,4.643559,2.786107,0
8.667843,4.829324,1.142073,1
2.608574,1.902801,8.252646,0
0.687949,2.501728,5.947882,0
0.45064,7.216191,8.666454,0
9.512961,5.015433,5.398933,1
6.163957,4.029466,3.989242,1
0.201277,6.044737,1.888189,0
2.138124,3.07079,5.041638,0
4.681083,3.251029,1.501657,0
1.360441,7.823862,2.249017,1
7.766617,9.336004,6.491389,1
2.595473,3.309233,1.624884,0
6.049659,7.683363,6.59332,1
2.562604,6.384619,2.727533,0
1.092949,8.261079,0.298717,1
0.438067,0.020058,8.646414,0
5.805449,5.626706,2.296921,0
4.545683,4.317359,8.461242,1
0.843352,0.935189,8.5227,0
9.3769,3.181431,7.968459,1
9.444019,4.347304,5.173331,0
6.806613,7.289304,6.532519,1
9.787632,7.67739,5.559384,0
9.148524,5.079419,9.665618,1
2.307592,0.007701,7.794827,0
6.745548,3.624971,7.955078,1
0.335677,6.562129,1.705563,0
6.66387,2.725054,7.600623,1
7.162631,0.923869,4.422996,0
7.118407,5.358838,5.09483,1
3.01633,4.714212,9.506293,0
8.479325,3.751768,7.340813,1
2.074843,1.894144,8.955616,0
4.471892,9.764602,8.858687,1
0.167659,8.912592,6.535468,1
2.431283,7.675982,9.09919,1
5.190718,7.886667,4.255894,1
2.840069,0.126761,1.406637,0
3.495409,0.836291,2.92287,0
3.493618,0.928833,7.919646,0
7.944128,8.925574,2.068064,1
8.120382,9.426508,5.156364,1
5.30941,5.010147,2.31348,1
4.477407,1.155493,4.201393,0
7.480503,3.292684,4.668906,1
4.790196,8.666429,8.919128,1
6.328824,8.620428,9.501138,1
9.423845,8.588628,3.984091,1
6.880187,3.951998,1.261779,1
6.22438,4.212544,4.913845,1
6.71604,6.646266,3.134921,1
7.74355,1.211105,9.772805,0
2.060733,7.793706,9.288679,1
0.301043,5.211457,0.655215,0
6.309408,7.811276,7.66266,1
2.095796,6.525859,6.619478,0
3.383152,9.361075,8.560778,1
2.425479,2.737523,1.022049,0
8.323963,3.663673,1.155277,1
7.416092,8.362272,2.712708,1
9.161066,9.239872,1.976801,0
1.970088,9.701229,3.623117,1
2.617937,6.449245,9.54546,1
2.594961,8.801764,9.846595,1
5.999701,2.421841,3.042988,0
5.547347,3.035493,4.548063,0
8.115975,0.500135,8.905498,0
8.258576,6.252436,3.297316,1
5.542896,7.461008,7.20383,1
0.849586,3.570267,8.097158,0
3.365946,5.617569,5.066807,0
2.54572,3.41428,7.256757,0
9.493625,2.97769,0.758194,1
9.067725,1.075064,8.721623,0
2.307515,0.716494,9.626098,0
3.326632,7.542139,5.948585,1
0.253606,2.477378,9.833962,1
7.42464,1.93031,3.490343,1
3.063069,8.00599,7.262702,1
7.04775,8.441427,9.744781,1
6.100805,1.081073,9.332355,1
8.12916,9.986774,0.462314,1
8.435077,5.726905,6.474262,1
6.361079,2.148603,3.340164,0
0.23412,1.745029,2.081259,0
7.294767,0.561553,0.638939,0
1.411888,4.326391,3.083458,0
6.425339,4.600213,0.627424,1
7.350223,3.10966,5.649083,1
0.012238,6.841752,6.167138,0
9.543716,2.630872,8.030392,1
1.734632,5.845389,0.113381,0
9.610007,4.081889,4.705014,1
2.97588,3.834575,4.352548,0
1.843097,7.64112,1.490779,1
5.494153,1.790353,0.264887,0
3.176771,0.538443,1.64951,0
7.715775,9.494834,9.230091,1
7.774131,1.915826,8.790318,1
3.845218,4.081449,6.274978,0
4.084302,9.649341,6.005946,1
8.67909,5.82704,0.053799,1
2.901016,3.877611,8.055243,0
0.036292,5.75651,6.570583,0
7.483283,5.864573,2.129601,1
5.94665,5.116566,8.454795,1
1.440815,8.855619,9.27667,1
4.303992,8.662087,7.58464,1
1.625572,6.77995,5.866584,0
1.299643,1.47936,4.240036,0
4.974259,7.203325,2.294118,1
4.59834,0.504757,0.499432,0
8.928319,5.191437,9.439419,1
4.417658,4.587378,9.148236,1
5.171286,2.674454,1.037636,0
0.158707,3.65505,0.914189,1
2.607669,7.545603,2.948318,1
8.163802,7.651064,0.345064,1
8.938659,1.522904,0.71796,1
3.588403,2.548383,6.747544,1
2.522914,6.675785,3.201695,1
4.884951,2.913526,2.248062,0
7.842406,4.977413,7.123648,1
9.723179,1.543175,6.671649,1
6.707993,4.751271,1.214253,1
0.333405,5.394726,9.362222,0
2.039264,4.13484,4.970454,0
8.946997,4.435133,9.476209,1
1.613601,8.426466,8.567476,1
5.827364,5.248261,1.337891,1
7.903348,3.567875,8.64225,1
4.351168,1.240713,7.932201,1
0.208979,3.518184,7.191134,0
9.457299,4.656835,8.310742,1
9.785532,4.54783,0.549468,1
2.402935,7.322427,0.890702,1
1.010705,8.515603,4.114494,1
2.078101,0.962955,2.844503,0
0.215745,9.578778,2.688722,1
4.698069,6.123663,6.904396,1
5.872908,0.786156,1.815239,0
6.285806,0.945129,9.285585,0
0.76859,0.607404,7.388318,0
8.499228,5.619045,6.959483,1
0.389998,3.522789,0.269306,0
6.064975,4.511802,1.087755,1
2.770104,4.838796,6.334745,1
8.656387,2.695148,3.783802,1
8.273042,5.918384,0.326316,1
0.02881,0.269434,7.426613,0
4.131707,5.421282,9.054746,1
6.185313,0.901232,9.451962,0
2.652482,0.48018,1.097132,0
2.598595,1.57001,7.168514,0
5.553566,2.576157,5.429708,0
5.231046,8.915072,0.907605,1
0.364477,5.132997,0.480232,0
9.740039,3.868167,7.676188,1
6.934875,2.097313,2.491144,1
1.820767,7.438112,6.803057,1
4.671189,0.221099,6.453719,0
0.368587,2.099207,8.931843,0
7.447611,7.931967,5.728985,1
4.138171,5.56899,6.422499,1
2.165971,1.714189,3.345168,1
1.849539,7.875225,7.66498,1
0.851675,9.020749,5.073042,1
4.921989,7.725779,8.080378,1
7.785536,7.957042,7.831443,1
0.466162,8.605178,8.432149,1
0.325331,5.311536,7.310791,1
4.866038,4.334336,6.414541,1
9.699432,2.871771,2.127851,0
1.843301,5.162067,7.47396,0
4.521371,6.297988,0.303944,1
9.907163,3.431357,4.534912,0
2.522904,9.417738,9.757254,1
5.347019,7.901798,3.453928,0
2.496398,7.346362,1.378009,0
1.329491,2.422866,2.623466,0
1.796623,2.721487,2.845409,0
2.903473,7.107354,6.366282,1
9.451417,4.081808,7.693052,1
2.456132,5.087798,1.858711,0
6.333766,8.086202,9.31296,1
0.68179,8.181413,0.706225,0
6.313868,5.171041,1.363605,1
9.079186,5.836336,4.475281,1
4.033014,9.14947,6.215124,1
0.074495,2.001628,1.865931,0
3.625372,5.768514,6.278483,1
7.900658,2.757124,3.353102,1
4.620814,0.94544,9.248739,0
7.511947,0.115732,0.310852,0
7.11051,1.83855,7.768045,0
1.294599,1.3682,9.215803,0
2.886654,0.302704,2.878469,0
5.21002,4.187044,7.780747,1
7.91843,3.520307,4.862075,0
1.296855,9.694281,9.728584,1
4.02418,6.725787,5.248652,1
3.037262,1.072603,4.143888,0
2.673305,0.003947,8.354403,0
7.494833,1.517259,2.414118,1
9.245252,4.113414,4.007455,1
5.582356,3.862286,4.925606,1
6.057576,0.21657,5.312892,0
4.505423,1.795731,5.212589,0
2.793999,1.901574,5.182322,0
5.206649,5.3329,4.466903,1
4.193336,1.500707,2.21156,0
5.043806,6.449927,3.028768,1
8.59763,1.618774,6.460485,0
7.600683,1.750357,1.397279,1
9.185646,0.775662,8.275073,1
4.716632,7.306334,2.033918,1
6.13818,5.633122,7.639849,1
9.067398,0.428065,4.098842,1
1.044269,0.115545,7.76824,0
8.106513,3.055977,2.59081,1
5.646019,1.878375,5.961503,0
6.586214,5.532,8.285658,1
1.098293,6.814203,3.281658,0
1.405838,3.885069,6.182706,0
4.677415,5.484803,8.697394,1
1.54853,0.392676,5.131429,0
2.846152,9.736695,1.100309,1
1.730606,2.988323,6.856704,0
3.663633,3.020398,3.270423,0
3.991942,6.090124,1.676764,1
9.920182,1.823713,7.62957,1
4.691625,3.694557,6.61235,0
1.571077,1.072197,9.698783,0
6.012178,0.837739,9.880408,0
3.062271,8.107297,1.821108,1
0.182634,9.360616,0.520342,1
3.697293,0.363445,6.994412,0
4.831552,1.19064,2.711142,0
6.371464,9.444875,0.411923,1
7.492528,1.681316,7.754945,1
8.496813,2.801103,4.863856,1
8.502643,8.299237,5.391901,1
8.855328,1.659646,9.479294,0
8.560844,5.497118,1.247315,1
5.677793,8.664516,2.558777,1
0.396546,2.242719,4.306976,0
7.847854,5.007567,9.832345,1
6.739584,7.653146,1.364302,1
2.473272,7.558476,5.747181,1
4.155942,7.302789,1.387618,1
2.095208,9.337716,3.710963,1
5.036545,8.787522,8.405898,1
2.651077,1.334605,9.912835,0
4.59257,6.236568,5.940402,1
1.297412,0.280215,3.342044,1
5.200809,9.136963,8.280742,0
4.509543,2.600084,9.971152,0
4.703373,3.009109,1.034582,0
6.264124,2.934508,6.402593,1
7.843595,8.295107,4.418003,1
0.681197,4.941946,2.790274,0
6.415393,9.849366,6.59629,1
6.32439,3.334879,1.243829,1
5.210022,9.314889,3.729411,0
7.246539,2.951966,4.245358,1
6.410857,5.166274,4.364525,1
3.545943,8.277417,3.818585,1
6.340661,6.299795,2.639731,1
0.501398,2.48891,9.775181,1
6.213933,6.040106,0.66087,1
3.085257,9.58493,5.19833,1
8.766259,2.588332,1.218958,1
2.124673,6.402543,6.459526,0
2.141472,0.393643,5.545019,0
5.615022,5.58895,1.031985,1
9.113467,1.428407,5.104941,1
2.70259,3.802107,2.044025,0
9.452191,5.221678,2.123365,1
7.3643,6.389995,3.546177,0
5.081352,9.509258,9.999982,1
7.168846,3.609483,8.60023,1
1.51183,4.5586,7.51891,0
0.555872,8.531761,0.069199,1
4.164353,4.432588,6.326612,0
6.148829,5.91624,4.460534,1
8.683887,3.303557,8.986938,1
7.725957,2.148301,5.525913,1
6.702088,2.944792,9.372739,1
4.225874,8.980191,1.391912,1
9.333649,5.181109,0.780522,1
6.948525,9.816115,6.939303,1
6.753994,7.020596,5.649575,1
9.397337,0.560782,5.694565,1
2.393076,7.541102,2.259998,1
6.838304,1.509404,6.32092,1
8.819659,8.40578,9.901176,1
9.421156,0.807076,2.900709,1
4.690056,5.412424,7.246591,1
4.445441,6.80455,1.165803,0
9.415275,9.43236,0.384551,1
7.175986,9.774558,9.217665,1
8.230934,8.207495,2.307094,1
0.94688,1.240693,4.409677,0
3.302992,3.471831,6.795444,0
2.720495,6.648489,6.864926,1
1.091883,6.183085,5.306835,0
8.144367,3.292609,4.573471,1
6.05182,3.667874,5.127233,1
8.434047,4.276846,0.397207,1
7.993399,9.621962,9.684339,0
8.050298,6.368934,1.922156,1
9.353814,4.184875,4.367602,1
1.789644,2.143514,2.228894,0
2.1924,1.601706,8.203497,0
1.727528,3.576192,3.905142,0
7.863823,6.43726,9.277479,1
9.132406,2.514595,5.467591,1
2.436266,8.022987,7.867508,1
6.588877,3.493544,7.621195,1
6.480195,0.160194,2.545329,0
1.838279,8.333535,3.257374,1
7.509658,4.609842,4.891177,1
1.691062,2.035202,4.353142,1
3.111351,8.996469,4.822547,1
1.777331,1.283907,5.901158,1
5.713836,6.16779,1.501647,1
2.404757,7.631125,0.731209,1
2.721604,4.978336,6.946009,1
6.81676,4.1358,9.695504,0
8.513783,5.259595,0.467718,1
2.029648,5.769786,8.287249,0
5.430406,0.065845,9.934569,0
4.727277,1.489923,6.633109,0
1.854112,5.369454,5.959256,0
2.366765,0.601237,2.127593,0
1.732343,4.173277,2.968667,0
8.203141,6.873932,8.714727,1
7.282304,2.779402,2.143838,0
5.46974,9.319654,5.34589,1
6.559577,2.999455,0.856356,1
7.515102,4.962782,8.713833,1
9.248043,4.95063,2.089777,1
8.375539,2.801223,7.378701,1
6.441574,9.82167,1.753766,1
5.674592,4.717635,4.848001,1
7.709772,4.829829,6.533703,0
3.760905,9.178551,6.629516,1
8.915232,9.281296,4.910897,1
3.828436,0.28833,6.268746,0
3.632232,6.797842,4.076367,1
5.474182,6.243325,3.798306,1
4.556958,8.364938,1.691009,1
9.201464,0.518584,0.767989,1
2.978634,3.02496,4.800527,0
5.638202,1.685119,6.994884,0
1.470734,7.270184,1.268788,0
1.378882,7.340767,4.139801,0
5.484011,8.843004,8.286585,1
2.487016,4.940229,1.019954,0
2.165261,6.860448,3.422814,1
4.533947,6.851773,0.599821,1
2.656558,2.906356,3.880803,0
6.859631,0.928056,5.396213,0
8.850278,7.898356,3.34412,1
7.666075,1.620458,6.264562,1
4.124696,5.878801,6.911885,1
2.993724,9.125513,1.64563,1
6.107128,2.359945,8.996253,1
3.670334,7.081347,8.485406,1
8.381056,9.105359,4.637657,1
2.20113,3.547549,3.853987,0
8.440505,7.7495,7.363208,1
2.605528,0.603617,5.717799,1
8.141338,9.132224,2.036445,0
8.51847,2.383441,5.249695,1
3.664511,9.552881,6.958782,1
8.702606,6.967208,8.329167,1
8.625509,2.415835,1.358337,1
4.457655,4.746674,0.954395,0
3.653139,4.600131,5.76186,0
3.139608,5.101619,5.397242,0
9.989184,7.475555,3.559131,1
4.573338,5.537865,5.435041,1
9.398123,3.189225,4.77322,1
1.429164,5.71348,6.055454,0
0.511363,4.923306,1.512741,0
0.352392,4.445552,5.792211,0
3.23945,1.103947,1.615713,0
1.288832,9.106188,3.579265,1
1.826584,3.046746,8.113049,0
3.642696,8.112929,5.741959,1
3.708566,4.110798,7.944946,0
2.306173,4.432125,3.295796,0
0.039485,2.19773,0.12938,0
7.79713,4.317694,2.967144,1
6.762456,8.831987,1.29449,1
5.626113,1.762742,1.001912,0
9.760949,2.381156,5.785353,1
7.329868,7.328657,6.001187,1
5.868631,0.972117,1.709428,0
0.678138,3.754837,1.199527,0
1.459373,7.85601,9.522114,1
3.175386,5.442131,8.628479,0
4.975335,7.352137,6.954873,1
6.869425,4.967674,5.751804,1
4.748905,0.924239,7.035705,1
2.709742,5.932371,6.201168,0
5.885616,3.921212,6.020728,1
3.784968,0.773554,5.024227,0
1.778103,5.536673,2.415447,0
1.235864,2.486543,1.635079,0
0.934583,1.439699,8.347995,0
1.188804,9.626385,9.03813,1
0.395667,3.9998,3.744948,0
5.440728,3.692314,0.105522,1
4.601286,1.6378,7.911734,1
4.78691,8.624719,4.312786,1
7.631615,6.50294,4.768133,1
3.787341,3.705745,2.657609,0
3.194073,3.856482,4.716394,0
9.911425,2.837375,8.931047,1
0.838158,0.951072,5.796285,0
4.386736,3.092704,5.710292,0
9.923486,9.19067,7.064422,0
9.9804,9.854673,9.80183,1
8.899138,7.701785,3.784276,1
6.677096,6.596549,7.497061,0
6.381206,1.419048,2.291608,0
1.583965,7.183743,0.323467,0
5.773339,1.251898,7.99945,0
9.384608,7.669875,4.171491,1
9.007193,1.178104,0.633559,1
2.497004,7.21335,6.731589,0
6.537246,5.155377,6.728083,1
7.513535,6.794128,9.028486,1
6.848943,8.297459,1.077394,1
1.814266,1.916933,7.74433,0
4.507649,1.902899,1.514046,0
5.364717,1.517012,3.062048,0
1.564164,2.554561,2.00982,0
4.084252,2.720678,4.940215,1
1.143257,1.047636,7.222881,0
9.259631,2.726677,5.001049,1
1.927593,2.644068,6.214907,0
7.964784,4.108599,3.208139,1
6.655444,4.382598,9.211468,1
2.292178,0.760416,3.733219,0
8.279129,8.423872,5.288353,1
8.061347,7.73489,9.025944,1
3.728387,9.792467,7.716932,1
7.177359,0.664302,6.435329,0
0.567785,0.747621,4.274988,0
9.608142,5.824977,4.029627,1
3.803736,6.816024,5.635481,1
1.343435,2.273095,6.159068,0
0.546844,3.893582,2.726451,0
5.224316,3.324182,6.948358,0
1.089254,8.731552,9.738079,1
8.644307,4.10468,3.556028,1
0.871157,6.941104,3.30905,0
1.68052,1.044147,5.46411,0
4.087526,2.853423,9.379762,0
3.367704,1.54188,7.933645,0
3.418103,5.837074,6.429013,1
0.34437,1.502945,2.715434,0
5.012067,2.908437,7.436166,0
7.092151,7.932229,3.083021,1
6.147856,7.462513,7.413855,1
5.481512,3.390116,0.153186,0
0.184446,3.019249,8.796414,0
6.005033,0.442163,7.068973,0
2.754181,0.099546,7.893097,0
9.959825,3.841059,8.265922,1
7.326995,0.601926,4.726663,0
2.732703,1.469106,2.275963,0
5.720023,2.37589,1.926847,1
